薪资,学历,城市,公司名称
公司名称,学历,薪资,城市
公司名称,薪资,学历,城市
城市,薪资,学历,公司名称
深圳,13k-18k,大专,深圳市博奥特科技有限公司
上海,10k-20k,本科,上海阿法迪智能数字科技股份有限公司
北京,15k-25k,本科,中企云链（北京）金融信息服务有限公司
上海,15k-25k,不限,上海莉莉丝科技股份有限公司
上海,15k-20k,本科,上海华钦信息科技股份有限公司
深圳,15k-25k,本科,深圳聿旌科技有限公司
上海,12k-18k,本科,上海坤亿信息技术有限公司
上海,13k-25k,本科,金锐软件技术（杭州）有限公司
上海,18k-25k,本科,泰为信息科技（上海）有限公司
北京,14k-18k,大专,深圳市法本信息技术股份有限公司
上海,15k-25k,本科,格尔软件股份有限公司
成都,10k-20k,不限,北京三合鸿业科技有限公司
深圳,20k-35k,本科,Foris Limited
北京,15k-30k,本科,畅捷通信息技术股份有限公司
杭州,12k-24k,本科,软视视频软件（杭州）有限公司
城市,薪资,学历,公司名称
无锡,10k-15k,大专,上海喔趣信息科技有限公司
上海,9k-14k,本科,上海陟明信息技术有限责任公司
南京,8k-15k,本科,上海源犀信息科技有限公司
上海,10k-15k,本科,上海蚁众企业管理咨询有限公司
广州,10k-14k,大专,建顺信息科技（广州）有限公司
上海,9k-16k,本科,上海海万信息科技股份有限公司
郑州,10k-15k,本科,郑州时空隧道信息技术有限公司
广州,9k-12k,本科,广州天越电子科技有限公司
广州,15k-26k,本科,慧博云通科技股份有限公司
北京,12k-24k,本科,用友网络科技股份有限公司
上海,18k-32k,本科,北京领航百纳文化传媒有限公司
深圳,12k-17k,本科,深圳市博奥特科技有限公司
深圳,13k-18k,本科,恒拓开源信息科技股份有限公司广州分公司
上海,12k-16k,本科,前锦网络信息技术（上海）有限公司
广州,10k-15k,本科,珠海赞同科技有限公司
公司名称,城市,学历,薪资
深圳市博奥特科技有限公司,深圳,大专,13k-18k
上海阿法迪智能数字科技股份有限公司,上海,本科,10k-20k
上海华钦信息科技股份有限公司,上海,本科,15k-25k
北京集顺工程咨询有限公司,上海,本科,20k-35k
互动峰科技（北京）有限公司,北京,本科,20k-40k
奥解思信息科技（上海）有限公司,上海,本科,15k-20k
上海华钦信息科技股份有限公司,上海,本科,15k-20k
深圳市炽火网络科技有限公司,深圳,大专,15k-25k
深圳法大大网络科技有限公司,深圳,本科,18k-35k
北京小米科技有限责任公司,北京,本科,23k-45k
奥解思信息科技（上海）有限公司,上海,本科,12k-20k
北京多来点信息技术有限公司,北京,本科,12k-20k
北京市商汤科技开发有限公司,深圳,本科,15k-30k
中企云链（北京）金融信息服务有限公司,北京,本科,13k-25k
深圳市法本信息技术股份有限公司,广州,大专,13k-20k
公司名称,城市,学历,薪资
上海喔趣信息科技有限公司,无锡,大专,10k-15k
上海源犀信息科技有限公司,南京,本科,8k-15k
上海陟明信息技术有限责任公司,上海,本科,9k-14k
前锦网络信息技术（上海）有限公司,上海,本科,12k-16k
北京夜神数娱科技有限公司,北京,本科,10k-15k
深圳市汇合发展有限公司,深圳,本科,11k-15k
上海中软华腾软件系统有限公司,西安,本科,8k-13k
建顺信息科技（广州）有限公司,广州,本科,10k-15k
亚创（上海）工程技术有限公司,上海,本科,8k-15k
维恩贝特科技有限公司,深圳,本科,10k-15k
杭州展鸿科技有限公司,南京,本科,8k-12k
泰为信息科技（上海）有限公司,上海,本科,18k-25k
上海坤亿信息技术有限公司,上海,本科,12k-18k
宁波环宇通商网络科技有限公司,上海,本科,12k-18k
格尔软件股份有限公司,上海,本科,15k-25k
学历,城市,公司名称,薪资
本科,上海,上海阿法迪智能数字科技股份有限公司,10k-20k
不限,上海,上海莉莉丝科技股份有限公司,15k-25k
本科,深圳,恒拓开源信息科技股份有限公司广州分公司,13k-18k
本科,苏州,盟拓软件（苏州）有限公司,10k-17k
本科,广州,上海华钦信息科技股份有限公司,15k-25k
大专,深圳,深圳市博奥特科技有限公司,13k-18k
本科,北京,中电领航（北京）信息咨询有限公司,11k-17k
大专,北京,深圳市法本信息技术股份有限公司,14k-18k
不限,成都,北京三合鸿业科技有限公司,10k-20k
本科,深圳,Foris Limited,20k-35k
本科,北京,畅捷通信息技术股份有限公司,15k-30k
本科,杭州,软视视频软件（杭州）有限公司,12k-24k
本科,北京,北京江融信科技有限公司,17k-24k
本科,上海,深圳市雪球科技有限公司,15k-20k
本科,上海,上海荟力电子商务有限公司,15k-20k
学历,城市,公司名称,薪资
本科,南京,上海源犀信息科技有限公司,8k-15k
本科,上海,前锦网络信息技术（上海）有限公司,12k-16k
本科,上海,亚创（上海）工程技术有限公司,8k-15k
本科,成都,成都易我科技开发有限责任公司,13k-16k
本科,上海,上海华钦信息科技股份有限公司,15k-25k
本科,杭州,家有学霸（杭州）科技有限公司,4k-6k
本科,广州,广州太平洋电脑信息咨询有限公司,10k-13k
本科,深圳,北京联龙博通电子商务技术有限公司,9k-12k
大专,杭州,杭州博彦信息技术有限公司,9k-14k
本科,郑州,郑州时空隧道信息技术有限公司,10k-15k
大专,广州,建顺信息科技（广州）有限公司,10k-14k
本科,上海,上海蚁众企业管理咨询有限公司,10k-15k
本科,广州,广州天越电子科技有限公司,9k-12k
本科,深圳,彩讯科技股份有限公司,12k-15k
本科,北京,北京小米科技有限责任公司,23k-45k
公司名称,城市,薪资,学历
盟拓软件（苏州）有限公司,苏州,10k-17k,本科
上海莉莉丝科技股份有限公司,上海,15k-25k,不限
上海华钦信息科技股份有限公司,广州,15k-25k,本科
恒拓开源信息科技股份有限公司广州分公司,深圳,13k-18k,本科
上海坤亿信息技术有限公司,上海,10k-20k,本科
深圳前海大道金融服务有限公司,深圳,10k-20k,本科
深圳华锐金融技术股份有限公司,上海,15k-25k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
深圳市博奥特科技有限公司,深圳,12k-17k,本科
中企云链（北京）金融信息服务有限公司,北京,13k-25k,本科
微脉技术有限公司,杭州,15k-25k,本科
慧博云通科技股份有限公司,广州,15k-26k,本科
用友网络科技股份有限公司,北京,12k-24k,本科
北京领航百纳文化传媒有限公司,上海,18k-32k,本科
公司名称,城市,薪资,学历
上海喔趣信息科技有限公司,无锡,10k-15k,大专
建顺信息科技（广州）有限公司,广州,10k-15k,本科
建顺信息科技（广州）有限公司,广州,10k-14k,大专
上海源犀信息科技有限公司,南京,8k-15k,本科
前锦网络信息技术（上海）有限公司,上海,12k-16k,本科
亚创（上海）工程技术有限公司,上海,8k-15k,本科
杭州博彦信息技术有限公司,杭州,9k-14k,大专
上海海万信息科技股份有限公司,上海,9k-16k,本科
彩讯科技股份有限公司,深圳,12k-15k,本科
上海陟明信息技术有限责任公司,上海,9k-14k,本科
珠海赞同科技有限公司,广州,10k-15k,本科
北京夜神数娱科技有限公司,北京,10k-15k,本科
深圳市汇合发展有限公司,深圳,11k-15k,本科
上海中软华腾软件系统有限公司,西安,8k-13k,本科
浙江网新恒天软件有限公司,上海,10k-14k,本科
公司名称,城市,薪资,学历
浙江吉利控股集团有限公司,杭州,15k-25k,本科
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
物界（上海）科技有限公司,深圳,10k-20k,本科
杭州涂鸦信息技术有限公司,杭州,15k-26k,本科
安克创新科技股份有限公司,深圳,12k-20k,大专
深圳虾皮信息科技有限公司,深圳,15k-30k,本科
格尔软件股份有限公司,上海,15k-25k,本科
深圳虾皮信息科技有限公司,深圳,20k-40k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
成都易我科技开发有限责任公司,成都,12k-15k,本科
北京江融信科技有限公司,北京,17k-24k,本科
广州柏视医疗科技有限公司,广州,15k-23k,本科
公司名称,城市,薪资,学历
上海华钦信息科技股份有限公司,上海,15k-25k,本科
上海蚁众企业管理咨询有限公司,上海,10k-15k,本科
北京小米科技有限责任公司,北京,23k-45k,本科
上海沃点网络科技有限公司,上海,10k-18k,本科
上海华钦信息科技股份有限公司,上海,12k-20k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
深圳市炽火网络科技有限公司,深圳,15k-25k,大专
武汉小安科技有限公司,武汉,10k-15k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
北京联龙博通电子商务技术有限公司,深圳,9k-12k,本科
深圳市晨北科技有限公司,重庆,10k-14k,本科
中企云链（北京）金融信息服务有限公司,北京,13k-25k,本科
上海赛连信息科技有限公司,西安,10k-20k,本科
公司名称,城市,薪资,学历
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
格尔软件股份有限公司,上海,15k-25k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
北京江融信科技有限公司,北京,17k-24k,本科
上海阅文信息技术有限公司,上海,15k-30k,本科
上海华钦信息科技股份有限公司,上海,15k-25k,本科
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
杭州涂鸦信息技术有限公司,杭州,13k-20k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
上海华钦信息科技股份有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
公司名称,城市,薪资,学历
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
贝壳金科控股有限公司,北京,20k-40k,本科
泰为信息科技（上海）有限公司,上海,18k-25k,本科
西安瑞蓝创软件科技有限公司,西安,7k-10k,本科
格尔软件股份有限公司,上海,15k-25k,本科
杭州涂鸦信息技术有限公司,杭州,13k-26k,本科
北京探真科技有限公司,成都,18k-28k,本科
江苏满运软件科技有限公司,南京,20k-30k,本科
北京趣拿软件科技有限公司,北京,20k-35k,本科
Foris Limited,深圳,20k-35k,本科
畅捷通信息技术股份有限公司,北京,15k-30k,本科
软视视频软件（杭州）有限公司,杭州,12k-24k,本科
北京融七牛信息技术有限公司,北京,20k-35k,本科
北京三快在线科技有限公司,上海,20k-40k,本科
北京三快在线科技有限公司,北京,20k-40k,本科
公司名称,城市,薪资,学历
上海华钦信息科技股份有限公司,上海,15k-25k,本科
阳光保险集团股份有限公司,北京,18k-36k,本科
家有学霸（杭州）科技有限公司,杭州,4k-6k,本科
北京瑞友科技股份有限公司,上海,15k-30k,本科
慧科讯业（北京）网络科技有限公司,北京,20k-30k,本科
北京格上富信基金销售有限公司,北京,10k-20k,本科
杭州有赞科技有限公司,杭州,20k-35k,不限
杭州涂鸦信息技术有限公司,杭州,13k-26k,本科
北京石头世纪科技股份有限公司,北京,15k-25k,本科
上海莉莉丝科技股份有限公司,上海,15k-25k,不限
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
上海万向区块链股份公司,上海,20k-40k,本科
上海唯链信息科技有限公司,上海,18k-25k,本科
武汉未来科技城人才企业发展服务有限公司,武汉,15k-25k,本科
北京向上一心科技有限公司,杭州,20k-30k,本科
公司名称,城市,薪资,学历
互动峰科技（北京）有限公司,北京,22k-44k,本科
北京向上一心科技有限公司,杭州,20k-30k,本科
瑞庭网络技术（上海）有限公司,北京,20k-35k,本科
慧科讯业（北京）网络科技有限公司,北京,20k-30k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
上海翼悟信息科技有限公司,上海,6k-12k,本科
北京格上富信基金销售有限公司,北京,10k-20k,本科
北京市商汤科技开发有限公司,深圳,20k-40k,本科
招银网络科技（深圳）有限公司,深圳,15k-25k,本科
北京致远互联软件股份有限公司,成都,15k-20k,本科
四川新龟科技有限公司,成都,10k-20k,本科
深圳市看房网科技有限公司,深圳,10k-20k,本科
北京小米科技有限责任公司,北京,20k-30k,本科
互动峰科技（北京）有限公司,北京,22k-40k,本科
公司名称,城市,薪资,学历
深圳市看房网科技有限公司,深圳,10k-20k,本科
北京东方国信科技股份有限公司,北京,15k-25k,本科
北京转转精神科技有限责任公司,北京,18k-30k,本科
商线科技（深圳）有限公司,广州,13k-25k,本科
蓝箭航天空间科技股份有限公司,北京,25k-35k,本科
北京市商汤科技开发有限公司,深圳,20k-40k,本科
杭州涂鸦信息技术有限公司,杭州,14k-27k,本科
四川新龟科技有限公司,成都,10k-20k,本科
深圳市法本信息技术股份有限公司,北京,12k-17k,大专
北京嘀嘀无限科技发展有限公司,北京,25k-50k,本科
南通云尚找家纺电子商务有限公司,杭州,14k-18k,大专
中电领航（北京）信息咨询有限公司,北京,11k-17k,本科
格尔软件股份有限公司,上海,15k-25k,本科
Foris Limited,深圳,20k-35k,本科
深圳华锐金融技术股份有限公司,上海,9k-18k,本科
公司名称,城市,薪资,学历
煜象科技（杭州）有限公司,杭州,15k-20k,本科
北京京东世纪贸易有限公司,北京,20k-40k,本科
上海识装信息科技有限公司,上海,15k-30k,不限
成都联动凯睿信息技术有限公司,上海,25k-40k,本科
北京甲子营科技有限公司,北京,7k-13k,本科
北京美餐巧达科技有限公司,北京,25k-50k,本科
北京汉克时代科技有限公司,杭州,7k-14k,本科
北京百家科技集团有限公司,北京,25k-50k,本科
杭州图尔兹信息技术有限公司,杭州,15k-20k,本科
北京市商汤科技开发有限公司,北京,25k-50k,本科
杭州觅睿科技股份有限公司,杭州,12k-18k,本科
上海欢动科技有限公司,上海,9k-18k,本科
深圳云端软件有限公司,深圳,12k-18k,本科
北京鲸榄网络科技有限公司,北京,15k-30k,本科
百度时代网络技术（北京）有限公司,北京,16k-32k,本科
公司名称,城市,薪资,学历
北京瑞达恒建筑咨询有限公司广州分公司,广州,6k-11k,本科
上海莉莉丝科技股份有限公司,上海,15k-25k,不限
奥解思信息科技（上海）有限公司,上海,15k-20k,本科
上海微创软件股份有限公司,上海,14k-17k,本科
奥解思信息科技（上海）有限公司,上海,12k-20k,本科
我爱我家控股集团股份有限公司,上海,15k-25k,本科
北京多来点信息技术有限公司,北京,12k-20k,本科
汉熵通信有限公司,北京,15k-25k,本科
上海微创软件股份有限公司,杭州,10k-17k,大专
北京奥式生活科技股份有限公司,北京,15k-25k,本科
百望股份有限公司,北京,11k-22k,本科
上海万向区块链股份公司,上海,8k-12k,本科
上海众调信息科技有限公司,上海,10k-20k,本科
广州太平洋电脑信息咨询有限公司,广州,12k-18k,本科
北京声智科技有限公司,苏州,12k-24k,本科
公司名称,城市,薪资,学历
浙江智贝信息科技有限公司,杭州,8k-16k,本科
深圳乐播科技有限公司,深圳,15k-25k,本科
上海睿民互联网科技有限公司,深圳,6k-12k,本科
北京三快在线科技有限公司,北京,25k-40k,不限
